property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
154,1,0,183,خیابان دلگشا,2,,2,2776275000,بتونی,شمالی,اجرنما,موزاییک,فلز,,1,با کاغذ قیمت(حشمت الله خاکی-1401/6/20)  با تسویه شهرداری  با کولر  یک خواب پایین  یک خواب بالا  یک اتاق سرپله  زیرزمین,6,154,154,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
156,4,0,840,خیابان خرم غربی,,,3,13000000000,بتونی,شمالی,سنگ,موزاییک,MDF,,,بدون کاغذ قیمت  30 دقیقه آب چاه  دوربین  دزدگیر-پرده-پکیج-ابگرمکن  استخر-درب و شیشه دوجداره-کمددیواری  پمپ و آبنما  عرض باغ کوچک و بزرگ است,6,156,156,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
157,1,0,109,خیابان منتظری شمالی,2,,3,3079760000,بتونی,جنوبی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/6/24)  یک خواب بالا  دو خواب پایین  ساخت مربوط به سال98  پرده-هود-پکیج-کف خواب  نرده و حیاط سازی  خریدار منزل همکف سه خواب,6,157,157,buy,0,0,upload/property/thumbnail/GOPR1944.JPG,,,,,,,,1,1,
158,2,0,200,خیابان شهدا,,,,1600000000,,شرقی,,,,,,کاغذ قیمت(مهدی خانیان-1401/9/7),6,158,158,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
159,2,0,200,بلوار ایزدی,,,,1500000000,,جنوبی,,,,,,با کاغذ قیمت(1401/9/7مهدی خانیان),6,159,159,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
160,2,0,365,بلوار جمهوری,,,,3358000000,,شمالی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/4/20)  بر 5 متر و 12 متر هم هست,6,160,160,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
161,5,0,34,خیابان شریعتی,,,,2963049999,آهن,شمالی,,,,,,با کاغذ قیمت(حشمت الله خاکی-1401/8/22)  بدون فیلم و عکس  همکف و زیر زمین انباری,6,161,161,buy,0,0,upload/property/thumbnail/GOPR1954.JPG,,,,,,,,1,1,
162,1,0,147,بلوار فجر,2,,3,3340000000,بتونی,جنوبی,اجرنما,موزاییک,سنگ و فلز,1,1,کاغذ قیمت(مهدی پورنمازی 7/12/1401  باتسویه شهرداری  تصفیه آب و آیفون تصویری  یک خواب بالا  دو خواب سرپله,6,162,162,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
164,2,0,206,خیابان امام رضا,,,,618000000,,غربی,,,,,,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/6/3)  ,6,164,164,buy,0,0,upload/property/thumbnail/GOPR1972.JPG,,,,,,,,1,1,
165,1,0,207,خیابان شیخ بهایی جنوبی,2,,4,4296000000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/4/28)  با تسویه شهرداری  پکیج و شیرآلات  انباری  دو خواب پایین  دو خواب بالا,6,165,165,buy,0,0,upload/property/thumbnail/GOPR1984.JPG,,,,,,,,1,1,
167,2,0,152,خیابان مجاهد شمالی,,,,608000000,,جنوبی,,,,,,با کاغذ قیمت(ابراهیم پورنمازیان-1401/1/23)  3 متر در مسیر - 8*19  با کاربری باغ,6,167,167,buy,0,0,upload/property/thumbnail/GOPR1995.JPG,,,,,,,,1,1,
169,1,0,221,بلوار حجتی,2,,4,4490000000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/7/11)  با تسویه شهرداری  تانک و پمپ  دوربین  معاوضه با منزل و زمین مسکونی  کوچه ده متری  سه سال ساخت  سه خواب همکف  یک خواب بالا,6,169,169,buy,0,0,upload/property/thumbnail/GOPR2005.JPG,,,,,,,,1,1,
